req,labels
The system shall have a MDI form that allows for the viewing of the graph and the data table.,O O O O O O entity O O O O entity O O entity O O O O O
The system shall display Events in a vertical table by time.,O O O O O O O O entity O entity O
The system shall display the Events in a graph by time.,O O O O O O O O entity O entity O
The Disputes System must be accessible by both internal and external users.,O O O O O O O O O O O O O
The Disputes System must prevent users from accessing any dispute cases that do not belong to their cardholder base.,O O O O O O O entity O O O O O O O O O O O O
The Disputes System will facilitate direct data entry of a dispute case via a user interface that supports real time responses to the users.,O O O O O O O O O O O O O O entity entity O O O O O O O O O
The Disputes System must provide different levels of access with regard to disputes case initiation and follow-up actions.,O O O O O O attr O entity O entity O O O O O O O O
The Disputes System shall provide view access capability for authorized users of the application.,O O O O O O O O O O attr O O entity O
The Disputes System shall provide update access capability for authorized users of the application.,O O O O O O O O O O attr O O entity O
The Disputes System must allow the users to select disputable transactions (based on the age of the transaction) from a user interface and initiate a dispute (ticket retrieval request or chargeback notification) on the selected transaction.,O O O O O O O O O O O O O O O entity O O entity O O O entity entity O relashionship O entity O O O O O O O O O O relashionship entity O
The Disputes System must provide the user the ability to initiate a single dispute case on multiple transactions that belong to a single merchant.,O O O O O O entity O entity O O O O O O O O O O O O O O entity O
The Disputes System will provide the user the ability to create or initiate a ticket retrieval request.   As part of ticket retrieval creation process the system must prompt the user to enter all the required information to create the ticket retrieval request.  The ticket retrieval request is a document that is sent to merchant inquiring the validity of a transaction.,O entity O O O O entity O O O O O entity O entity O O entity O
The Disputes System must allow the user to create three unique types of ticket retrieval requests.  The three types of ticket retrieval requests are (1) Request for original receipt (2) Request for a copy of the receipt or (3) Request for a portfolio. A portfolio consists of documentation that would provide proof of a purchase such as the documentation that is received from a car rental agency that is more than a sales receipt.,O entity O O attr O O O entity O O entity O O O attr O O O O O entity O entity O O O O O O entity O
The Disputes System must prevent external users from requesting original receipts. Requests for original receipts are restricted to internal users.,O O O O O O O O O O
The Disputes System must provide a confirmation to the user upon the creation of ticket retrieval request that contains the following information; the dispute case number  the type of retrieval requested (copy  original or portfolio)  and the date that the merchant response is due.,O O O O O O entity O attr entity O attr entity O O entity O attr O attr O O O attr O O O attr entity O entity O O O entity O entity O O attr entity attr attr O O O O O
The Disputes System shall allow the user to create or initiate a chargeback request.  The system must prompt the user to enter the required information to initiate a chargeback request. The chargeback request results in a printed chargeback notification that is sent to merchant indicating that their account will be charged back if no proof is provided that the disputed transaction is valid.,O O O O O O O O O O O O O O entity O O entity O O O O O attr O O O O O O entity O O O
The Disputes System must provide a confirmation to the user upon the creation of a chargeback request. The confirmation must contain the following information; the dispute case number  the type of chargeback requested (pending or immediate)  and the date that the merchant response is due.,O entity O O attr O O O attr O O O attr entity O entity O O entity O O O O attr entity O attr O O O O O
The Disputes System shall prevent the creation of duplicate dispute requests 100% of the time.,O O O O O O entity O O entity O O entity O O entity O
The Disputes System shall accurately provide a list of possible reason codes for a given transaction.  The list of possible reason codes must be derived based on the type of transaction and the industry that the merchant belongs to  according to the business rules defined for the Disputes System.,O entity attr O O O O O O O O O entity attr entity O O entity O O entity O O entity O O O O O O O O O O
The Disputes System must provide the ability to view existing dispute cases.,O O O O O O entity O O O O O O
The Disputes System must provide Search functionality.  The search method must include the ability to search by (1) the dispute case number  (2) the merchant account number  (3) the cardmember account number and (4) the issuer number.  In addition to the above criteria  the search functionality must further allow the user to limit the results of the search by a date range  the type of dispute (ticket retrieval request or chargeback notification)  the case status (open  closed or all) and the dispute reason code.,O entity O O O O O entity entity O O relashionship O entity O relashionship O O attr O entity O O attr O O entity attr entity O O O O O O O O O O O O O O O O O attr O entity O O attr
A list of all disputes cases that meet the entered search criteria must be provided to the user.  The list of cases must differentiate the type and/or status of the case by color -coding the line item in the list.  For example all open cases will be yellow and all closed cases will be gray.,O entity O O O O O O O O O O O O O O
The Disputes System shall provide the users the ability to view the history of all activities that have occurred on the dispute case.,O O O O O O O O entity O relashionship O entity O O O O O O O O O O O
