req,pos,labels
The system shall have a MDI form that allows for the viewing of the graph and the data table.,DET NOUN AUX VERB DET PROPN NOUN PRON VERB ADP DET NOUN ADP DET NOUN CCONJ DET NOUN NOUN PUNCT,O O O O O O entity O O O O entity O O entity O O O O O
The system shall display Events in a vertical table by time.,DET NOUN AUX VERB NOUN ADP DET ADJ NOUN ADP NOUN PUNCT,O O O O O O O O entity O entity O
The system shall display the Events in a graph by time.,DET NOUN AUX VERB DET NOUN ADP DET NOUN ADP NOUN PUNCT,O O O O O O O O entity O entity O
The Disputes System must be accessible by both internal and external users.,DET PROPN PROPN AUX AUX ADJ ADP CCONJ ADJ CCONJ ADJ NOUN PUNCT,O O O O O O O O O O O O O
The Disputes System must prevent users from accessing any dispute cases that do not belong to their cardholder base.,DET PROPN PROPN AUX VERB NOUN ADP VERB DET NOUN NOUN PRON AUX PART VERB ADP PRON NOUN NOUN PUNCT,O O O O O O O entity O O O O O O O O O O O O
The Disputes System will facilitate direct data entry of a dispute case via a user interface that supports real time responses to the users.,DET PROPN PROPN AUX VERB ADJ NOUN NOUN ADP DET NOUN NOUN ADP DET NOUN NOUN PRON VERB ADJ NOUN NOUN ADP DET NOUN PUNCT,O O O O O O O O O O O O O O entity entity O O O O O O O O O
The Disputes System must provide different levels of access with regard to disputes case initiation and follow-up actions.,DET PROPN PROPN AUX VERB ADJ NOUN ADP NOUN ADP NOUN ADP NOUN NOUN NOUN CCONJ VERB PUNCT ADP NOUN PUNCT,O O O O O O attr O entity O entity O O O O O O O O
The Disputes System shall provide view access capability for authorized users of the application.,DET PROPN PROPN AUX VERB NOUN NOUN NOUN ADP ADJ NOUN ADP DET NOUN PUNCT,O O O O O O O O O O attr O O entity O
The Disputes System shall provide update access capability for authorized users of the application.,DET PROPN PROPN AUX VERB NOUN NOUN NOUN ADP ADJ NOUN ADP DET NOUN PUNCT,O O O O O O O O O O attr O O entity O
The Disputes System must allow the users to select disputable transactions (based on the age of the transaction) from a user interface and initiate a dispute (ticket retrieval request or chargeback notification) on the selected transaction.,DET PROPN PROPN AUX VERB DET NOUN PART VERB ADJ NOUN PUNCT VERB ADP DET NOUN ADP DET NOUN PUNCT ADP DET NOUN NOUN CCONJ VERB DET NOUN PUNCT NOUN NOUN NOUN CCONJ NOUN NOUN PUNCT ADP DET VERB NOUN PUNCT,O O O O O O O O O O O O O O O entity O O entity O O O entity entity O relationship O entity O O O O O O O O O O relationship entity O
The Disputes System must provide the user the ability to initiate a single dispute case on multiple transactions that belong to a single merchant.,DET PROPN PROPN AUX VERB DET NOUN DET NOUN PART VERB DET ADJ NOUN NOUN ADP ADJ NOUN PRON VERB ADP DET ADJ NOUN PUNCT,O O O O O O entity O entity O O O O O O O O O O O O O O entity O
The Disputes System will provide the user the ability to create or initiate a ticket retrieval request.   As part of ticket retrieval creation process the system must prompt the user to enter all the required information to create the ticket retrieval request.  The ticket retrieval request is a document that is sent to merchant inquiring the validity of a transaction.,DET PROPN PROPN AUX VERB DET NOUN DET NOUN PART VERB CCONJ VERB DET NOUN NOUN NOUN PUNCT SPACE ADP NOUN ADP NOUN NOUN NOUN NOUN DET NOUN AUX VERB DET NOUN PART VERB DET DET VERB NOUN PART VERB DET NOUN NOUN NOUN PUNCT SPACE DET NOUN NOUN NOUN AUX DET NOUN PRON AUX VERB ADP NOUN VERB DET NOUN ADP DET NOUN PUNCT,O entity O O O O entity O O O O O entity O entity O O entity O
The Disputes System must allow the user to create three unique types of ticket retrieval requests.  The three types of ticket retrieval requests are (1) Request for original receipt (2) Request for a copy of the receipt or (3) Request for a portfolio. A portfolio consists of documentation that would provide proof of a purchase such as the documentation that is received from a car rental agency that is more than a sales receipt.,DET PROPN PROPN AUX VERB DET NOUN PART VERB NUM ADJ NOUN ADP NOUN NOUN NOUN PUNCT SPACE DET NUM NOUN ADP NOUN NOUN NOUN AUX PUNCT X PUNCT NOUN ADP ADJ NOUN PUNCT X PUNCT NOUN ADP DET NOUN ADP DET NOUN CCONJ PUNCT X PUNCT NOUN ADP DET NOUN PUNCT DET NOUN VERB ADP NOUN PRON AUX VERB NOUN ADP DET NOUN ADJ ADP DET NOUN PRON AUX VERB ADP DET NOUN NOUN NOUN PRON AUX ADJ ADP DET NOUN NOUN PUNCT,O entity O O attr O O O entity O O entity O O O attr O O O O O entity O entity O O O O O O entity O
The Disputes System must prevent external users from requesting original receipts. Requests for original receipts are restricted to internal users.,DET PROPN PROPN AUX VERB ADJ NOUN ADP VERB ADJ NOUN PUNCT NOUN ADP ADJ NOUN AUX VERB ADP ADJ NOUN PUNCT,O O O O O O O O O O
